loss,accuracy,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0.39937517046928406,0.8487232327461243,1769745487,,False,1,dbaf9_00001,2026-01-29_19-58-07,6.982282876968384,6.982282876968384,19844,CEPSNYODSTD9690,127.0.0.1,6.982282876968384,1
0.3923191428184509,0.8483363389968872,1769745492,,False,2,dbaf9_00001,2026-01-29_19-58-12,4.843707799911499,11.825990676879883,19844,CEPSNYODSTD9690,127.0.0.1,11.825990676879883,2
0.3904533386230469,0.8483363389968872,1769745497,,False,3,dbaf9_00001,2026-01-29_19-58-17,4.78679895401001,16.612789630889893,19844,CEPSNYODSTD9690,127.0.0.1,16.612789630889893,3
0.3896026313304901,0.8478204607963562,1769745501,,False,4,dbaf9_00001,2026-01-29_19-58-21,4.336125135421753,20.948914766311646,19844,CEPSNYODSTD9690,127.0.0.1,20.948914766311646,4
0.3943159878253937,0.8487232327461243,1769745506,,False,5,dbaf9_00001,2026-01-29_19-58-26,4.439708948135376,25.38862371444702,19844,CEPSNYODSTD9690,127.0.0.1,25.38862371444702,5
0.39584824442863464,0.8484653234481812,1769745510,,False,6,dbaf9_00001,2026-01-29_19-58-30,4.292649030685425,29.681272745132446,19844,CEPSNYODSTD9690,127.0.0.1,29.681272745132446,6
0.4487035572528839,0.8487232327461243,1769745515,,False,7,dbaf9_00001,2026-01-29_19-58-35,4.398014783859253,34.0792875289917,19844,CEPSNYODSTD9690,127.0.0.1,34.0792875289917,7
0.3923169672489166,0.8456280827522278,1769745519,,False,8,dbaf9_00001,2026-01-29_19-58-39,4.267086029052734,38.346373558044434,19844,CEPSNYODSTD9690,127.0.0.1,38.346373558044434,8
0.3933214545249939,0.8478204607963562,1769745523,,False,9,dbaf9_00001,2026-01-29_19-58-43,4.367593050003052,42.713966608047485,19844,CEPSNYODSTD9690,127.0.0.1,42.713966608047485,9
0.39931225776672363,0.8487232327461243,1769745528,,False,10,dbaf9_00001,2026-01-29_19-58-48,4.252677917480469,46.966644525527954,19844,CEPSNYODSTD9690,127.0.0.1,46.966644525527954,10
